# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.025024413999999950e+01 -5.954969173617964684e-03 6.972557558953797197e-03 8.287640690512737551e-01 -5.410798301912226327e-01 1.857066269721563412e-02 9.533886589145309023e-05
5.025634766000000297e+01 -5.954178319016713294e-03 6.972841270689998650e-03 8.287257461653069202e-01 -5.411370441753933225e-01 1.857114810354430767e-02 9.483064961456240394e-05
5.026245116999999851e+01 -5.953387486318920119e-03 6.973124910795915066e-03 8.286874194182402009e-01 -5.411942551285346958e-01 1.857163346420422079e-02 9.432233761242107481e-05
5.026855469000000198e+01 -5.952596672908587461e-03 6.973408480170611989e-03 8.286490886848216775e-01 -5.412514632382656732e-01 1.857211878080197720e-02 9.381392822974598741e-05
5.027465819999999752e+01 -5.951805881352460748e-03 6.973691977854502844e-03 8.286107540909931624e-01 -5.413086683172795288e-01 1.857260405176335005e-02 9.330542314283252897e-05
5.028076172000000099e+01 -5.951015109034805961e-03 6.973975404746243778e-03 8.285724155114773115e-01 -5.413658705531769755e-01 1.857308927869497084e-02 9.279682069585678400e-05
5.028686522999999653e+01 -5.950224358522264445e-03 6.974258759886754755e-03 8.285340730722403624e-01 -5.414230697586674967e-01 1.857357446002250168e-02 9.228812256580065654e-05
5.029296875000000000e+01 -5.949433627199213204e-03 6.974542044174261712e-03 8.284957266479793248e-01 -5.414802661213324875e-01 1.857405959735186629e-02 9.177932709619274557e-05
5.029907227000000347e+01 -5.948642916336857600e-03 6.974825257114514176e-03 8.284573763018487913e-01 -5.415374595476040165e-01 1.857454468990374363e-02 9.127043513086543353e-05
5.030517577999999901e+01 -5.947852227206194831e-03 6.975108398213386574e-03 8.284190220970297780e-01 -5.415946499439314721e-01 1.857502973689931225e-02 9.076144751426779705e-05
5.031127930000000248e+01 -5.947061557191997416e-03 6.975391468368577486e-03 8.283806639081793266e-01 -5.416518374978659400e-01 1.857551473994321911e-02 9.025236258903635359e-05
5.031738280999999802e+01 -5.946270908860767923e-03 6.975674466622582004e-03 8.283423018613271793e-01 -5.417090220221633112e-01 1.857599969746220880e-02 8.974318203382875003e-05
5.032348633000000149e+01 -5.945480279597396833e-03 6.975957393872904422e-03 8.283039358311050648e-01 -5.417662037043525780e-01 1.857648461106034543e-02 8.923390419067868742e-05
5.032958983999999703e+01 -5.944689671968352018e-03 6.976240249162414531e-03 8.282655659435669282e-01 -5.418233823572091712e-01 1.857696947916381847e-02 8.872453073890951281e-05
5.033569336000000050e+01 -5.943899083358766822e-03 6.976523033388228046e-03 8.282271920733192960e-01 -5.418805581682425432e-01 1.857745430337673365e-02 8.821506001996642227e-05
5.034179687999999686e+01 -5.943108515039811912e-03 6.976805746057058999e-03 8.281888142835598376e-01 -5.419377310439132955e-01 1.857793908291975604e-02 8.770549287885620604e-05
5.034790038999999950e+01 -5.942317968282470608e-03 6.977088386675996123e-03 8.281504326375124236e-01 -5.419949008907041232e-01 1.857842381701380052e-02 8.719583016129168682e-05
5.035400391000000297e+01 -5.941527440472285648e-03 6.977370956141766556e-03 8.281120470097436126e-01 -5.420520678960927263e-01 1.857890850726173770e-02 8.668607020777610583e-05
5.036010741999999851e+01 -5.940736934175398776e-03 6.977653453498697256e-03 8.280736575263710764e-01 -5.421092318729003878e-01 1.857939315209027054e-02 8.617621469933414019e-05
5.036621094000000198e+01 -5.939946446777547018e-03 6.977935879643105965e-03 8.280352640619352833e-01 -5.421663930085853789e-01 1.857987775310204759e-02 8.566626197584843380e-05
5.037231444999999752e+01 -5.939155980844906813e-03 6.978218233619742916e-03 8.279968667425788853e-01 -5.422235511159854138e-01 1.858036230872366079e-02 8.515621371903191530e-05
5.037841797000000099e+01 -5.938365533763305393e-03 6.978500516324558089e-03 8.279584654428158164e-01 -5.422807063825406670e-01 1.858084682055731462e-02 8.464606826815400387e-05
5.038452147999999653e+01 -5.937575108098974708e-03 6.978782726803231529e-03 8.279200602888152627e-01 -5.423378586211059504e-01 1.858133128702943448e-02 8.413582730556774109e-05
5.039062500000000000e+01 -5.936784701237832196e-03 6.979064865951123409e-03 8.278816511550641799e-01 -5.423950080191005663e-01 1.858181570974194730e-02 8.362548917000348081e-05
5.039672852000000347e+01 -5.935994314451097098e-03 6.979346933276404930e-03 8.278432381048176358e-01 -5.424521544830264164e-01 1.858230008791543486e-02 8.311505470805051476e-05
5.040283202999999901e+01 -5.935203949009849878e-03 6.979628928288086898e-03 8.278048212013546792e-01 -5.425092979194009457e-01 1.858278442076981285e-02 8.260452476696036536e-05
5.040893555000000248e+01 -5.934413602300327162e-03 6.979910851880807843e-03 8.277664003191249620e-01 -5.425664385156142577e-01 1.858326870990642532e-02 8.209389768458084588e-05
