# f, real(s11_LNA), imag(s11_LNA), C1, C2, TU, TC, TS, real(s11_ant), imag(s11_ant), Gconn, Gbalun, Gground
7.235717773000000363e+01 5.325500000000000156e-04 1.396025000000000044e-02 4.320716339999999711e+00 -1.485612829999999995e+00 1.837764347499999928e+02 -9.136469919999999689e+00 9.658508780000000016e+00 -7.465012032137767484e-02 1.855372499803695230e-01 9.988549283197850626e-01 9.954843066224993153e-01 9.978718207155095055e-01
7.236328125000000000e+01 5.318299999999999547e-04 1.395927999999999926e-02 4.320569419999999994e+00 -1.485603910000000027e+00 1.837756422600000121e+02 -9.136944390000000027e+00 9.660830949999999362e+00 -7.448145394898271487e-02 1.856057978856515411e-01 9.988551863915697826e-01 9.954838308939996105e-01 9.978720081327538960e-01
7.236938476999999637e+01 5.311100000000000022e-04 1.395830999999999981e-02 4.320422530000000094e+00 -1.485594979999999898e+00 1.837748499500000037e+02 -9.137419949999999957e+00 9.663152759999999120e+00 -7.431273306097480047e-02 1.856741805864275674e-01 9.988554446124137121e-01 9.954833557087258145e-01 9.978721954516414083e-01
7.237548827999999901e+01 5.303900000000000498e-04 1.395734000000000037e-02 4.320275660000000073e+00 -1.485586059999999931e+00 1.837740578000000085e+02 -9.137896599999999481e+00 9.665474220000000116e+00 -7.414395808983056946e-02 1.857423979482619725e-01 9.988557029816129695e-01 9.954828810674597461e-01 9.978723826718816081e-01
7.238159179999999537e+01 5.296800000000000379e-04 1.395636999999999919e-02 4.320128809999999930e+00 -1.485577130000000023e+00 1.837732658200000060e+02 -9.138374320000000495e+00 9.667795310000000697e+00 -7.397512863840369213e-02 1.858104501720125035e-01 9.988559614997357672e-01 9.954824069686485366e-01 9.978725697941073225e-01
7.238769530999999802e+01 5.289599999999999771e-04 1.395539999999999975e-02 4.319981989999999605e+00 -1.485568199999999894e+00 1.837724740099999963e+02 -9.138853129999999325e+00 9.670116050000000740e+00 -7.380624541579010323e-02 1.858783370121374900e-01 9.988562201656546735e-01 9.954819334138504949e-01 9.978727568177200302e-01
7.239379882999999438e+01 5.282400000000000246e-04 1.395444000000000025e-02 4.319835190000000047e+00 -1.485559269999999987e+00 1.837716823599999998e+02 -9.139333020000000474e+00 9.672436429999999419e+00 -7.363730802445289658e-02 1.859460586686673689e-01 9.988564789799385668e-01 9.954814604015150836e-01 9.978729437433544458e-01
7.239990233999999703e+01 5.275199999999999638e-04 1.395347000000000080e-02 4.319688410000000367e+00 -1.485550340000000080e+00 1.837708908799999961e+02 -9.139813990000000388e+00 9.674756450000000285e+00 -7.346831717380609972e-02 1.860136148973991488e-01 9.988567379414597935e-01 9.954809879331942835e-01 9.978731305704144905e-01
7.240600585999999339e+01 5.268000000000000113e-04 1.395249999999999962e-02 4.319541659999999617e+00 -1.485541400000000012e+00 1.837700995700000135e+02 -9.140296040000000843e+00 9.677076109999999787e+00 -7.329927246592604639e-02 1.860810058975346237e-01 9.988569970507873430e-01 9.954805160073431081e-01 9.978733172995297718e-01
7.241210938000000397e+01 5.260799999999999504e-04 1.395154000000000012e-02 4.319394929999999633e+00 -1.485532459999999944e+00 1.837693084299999953e+02 -9.140779170000000065e+00 9.679395420000000527e+00 -7.313017433344895513e-02 1.861482315362163742e-01 9.988572563072179999e-01 9.954800446247388246e-01 9.978735039304120757e-01
